chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
,,37339,0,0,-1,1,0,2,0.2,-0.3,0,Ahmed,0.2,29,False,,,44,37339.jpg,1.0,El Mohamady,0.4,False,,a,2,7,1,5877,145,16087,200,0.0,0.2,El Mohamady,10,0,0,0,0,0,0,0,0,0,0,0,4,3.6,11.1,2.0,1.7,333,125,235,70,276,95,328,121,,,,,,
,,40564,-1,1,-1,1,0,3,0.0,-0.5,0,Henri,0.0,30,False,,,44,40564.jpg,0.0,Lansbury,0.2,False,,a,2,7,0,3285,64,8718,126,0.0,0.0,Lansbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,404,168,387,169,344,145,409,168,,,,,,
,,47390,0,0,-1,1,0,2,0.0,-0.5,0,Neil,0.0,31,False,,,44,47390.jpg,0.0,Taylor,0.3,False,,a,2,7,0,7176,79,14230,134,0.0,0.0,Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,407,156,390,155,347,138,412,156,,,,,,
,,79852,0,0,0,0,0,1,0.0,-0.5,0,Jed,0.0,32,False,,,40,79852.jpg,0.0,Steer,5.6,False,,a,2,7,0,134403,2729,96792,1164,0.0,0.0,Steer,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,372,30,356,9,306,7,377,30,,,,,,
,,85242,0,0,0,0,1,3,4.2,3.7,0,Conor,4.2,33,False,,,60,85242.jpg,8.5,Hourihane,0.3,False,,a,2,7,17,21066,184,11267,276,0.7,2.8,Hourihane,137,1,1,2,0,0,0,0,0,0,0,3,57,62.2,77.7,23.0,16.3,125,47,40,31,166,88,89,50,1.0,,1.0,,,
0.0,0.0,89274,0,0,-1,1,0,3,0.0,0.0,0,José Ignacio,0.0,34,False,Contract ended,2020-10-05T07:17:10.828418Z,59,89274.jpg,0.0,Peleteiro Romallo,0.1,False,,u,2,7,0,1344,0,5716,153,0.0,0.0,Jota,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,560,227,561,228,559,226,562,227,,,,,,
0.0,0.0,98770,0,0,0,0,0,1,0.0,0.0,0,Ørjan,0.0,35,False,Contract terminated on 5/10,2020-10-05T21:00:11.316167Z,40,98770.jpg,0.0,Nyland,11.5,False,,u,2,7,0,142511,93,385245,11899,0.0,0.0,Nyland,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,374,31,358,10,308,8,379,31,,,,,,
100.0,100.0,108156,0,0,-1,1,0,2,0.0,-0.5,0,Bjorn,0.0,36,False,,2020-09-18T10:00:08.441455Z,44,108156.jpg,0.0,Engels,0.1,False,,a,2,7,0,10081,25,15880,27,0.0,0.0,Engels,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,419,162,402,161,361,146,424,162,,,,,,
,,114283,0,0,1,-1,1,3,8.8,8.3,0,Jack,8.8,37,True,,,71,114283.jpg,11.7,Grealish,20.8,False,,a,2,7,35,994749,59241,288865,3654,1.2,4.9,Grealish,270,3,3,2,2,0,0,0,0,0,0,3,129,183.8,120.3,170.0,47.4,8,5,13,8,16,6,8,6,3.0,,7.0,,3.0,
,,122806,0,0,0,0,0,3,5.5,5.0,0,John,5.5,38,False,,,55,122806.jpg,7.3,McGinn,1.4,False,,a,2,7,22,85234,3564,31081,817,1.0,4.0,McGinn,270,1,3,2,2,0,0,0,2,0,0,2,87,117.0,106.1,61.0,28.4,29,11,24,15,68,37,31,15,4.0,,6.0,,,
75.0,75.0,123354,0,0,-1,1,0,2,0.0,-0.4,0,Kortney,0.0,39,False,Groin Injury - 75% chance of playing,2020-10-01T22:30:14.186065Z,44,123354.jpg,0.0,Hause,0.1,False,,d,2,7,0,596,1,3114,49,0.0,0.0,Hause,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,421,163,404,162,363,147,426,163,,,,,,
,,148508,0,0,0,0,0,3,2.8,2.3,0,Mahmoud Ahmed,2.8,40,False,,,55,148508.jpg,3.7,Ibrahim Hassan,1.1,False,,a,2,7,11,28798,482,52900,721,0.5,2.0,Trézéguet,259,0,1,2,2,0,0,0,0,0,0,0,55,58.4,79.3,58.0,19.5,134,51,38,29,71,39,65,39,,,3.0,,,
,,149484,0,0,1,-1,2,2,5.8,5.3,0,Tyrone,5.8,41,False,,,51,149484.jpg,7.7,Mings,6.0,False,,a,2,7,23,325398,14496,77914,1962,1.1,4.5,Mings,270,1,1,2,2,0,0,0,1,0,0,2,82,117.4,13.2,42.0,17.4,28,8,218,62,104,20,79,16,,,,,,
,,169359,0,0,0,0,0,2,2.8,2.3,0,Matt,2.8,42,False,,,45,169359.jpg,3.7,Targett,1.1,False,,a,2,7,11,46979,1837,34878,463,0.6,2.4,Targett,270,0,0,2,2,0,0,0,2,0,0,0,53,22.4,13.6,2.0,3.9,251,100,215,59,280,98,283,99,6.0,,5.0,,,
0.0,0.0,184386,0,0,0,0,0,2,0.0,0.0,0,James,0.0,43,False,Joined Luton Town on a permanent deal on 1/9,2020-09-02T09:00:10.425295Z,45,184386.jpg,0.0,Bree,0.0,False,,u,2,7,0,9764,1,10129,2,0.0,0.0,Bree,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,467,188,457,188,421,176,472,188,,,,,,
,,184704,0,0,-1,1,0,3,0.2,-0.3,0,Marvelous,0.2,44,False,,,44,184704.jpg,0.5,Nakamba,0.4,False,,a,2,7,1,6590,502,18956,271,0.0,0.2,Nakamba,13,0,0,0,0,0,0,0,1,0,0,0,4,8.4,0.6,7.0,1.7,309,135,323,158,243,128,330,146,,,,,,
,,193488,0,0,-1,1,0,3,0.0,-0.5,0,Anwar,0.0,45,False,,,59,193488.jpg,0.0,El Ghazi,0.1,False,,a,2,7,0,2281,32,7249,87,0.0,0.0,El Ghazi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,565,230,566,230,565,229,567,230,5.0,,2.0,,2.0,
,,199798,0,0,1,-1,1,2,5.5,5.0,0,Ezri,5.5,46,False,,,46,199798.jpg,7.3,Konsa Ngoyo,5.7,False,,a,2,7,22,424483,9766,103567,2185,1.2,4.8,Konsa,270,1,0,2,2,0,0,0,0,0,0,3,79,85.6,0.3,33.0,11.9,75,23,334,125,130,29,136,44,,,,,,
,,203368,0,0,-1,1,0,2,0.0,-0.5,0,Frédéric,0.0,47,False,,,44,203368.jpg,0.0,Guilbert,0.1,False,,a,2,7,0,855,17,4513,47,0.0,0.0,Guilbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,428,169,412,168,372,153,433,169,,,,,,
0.0,0.0,213345,0,0,0,0,0,4,0.0,0.0,0,Wesley,0.0,48,False,Knee injury - Unknown return date,2020-08-15T10:00:11.458856Z,60,213345.jpg,0.0,Moraes,0.0,False,,i,2,7,0,364,13,711,17,0.0,0.0,Wesley,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,568,65,570,67,569,67,570,67,,,,,1.0,
0.0,0.0,217487,0,0,-1,1,0,4,0.0,0.0,0,Mbwana,0.0,49,False,Joined Fenerbahce on a permanent deal on 25/9,2020-09-25T09:00:10.072147Z,59,217487.jpg,0.0,Samatta,0.0,False,,u,2,7,0,1502,1,7429,59,0.0,0.0,Samatta,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,566,63,567,65,566,65,568,65,,,,,,
,,221239,0,0,-1,1,0,4,0.2,-0.3,0,Keinan,0.2,50,False,,,44,221239.jpg,1.0,Davis,10.8,False,,a,2,7,1,380002,4141,672391,10928,0.0,0.2,Davis,28,0,0,0,0,0,0,0,0,0,0,0,3,4.4,12.9,6.0,2.3,326,33,222,32,251,41,317,40,,,,,,
0.0,0.0,223349,0,0,-1,1,0,4,0.0,0.0,0,Indiana,0.0,51,False,Joined Burton Albion on loan until the end of the season on 17/9. - Expected back 01 Jul,2020-09-17T16:30:17.739025Z,44,223349.jpg,0.0,Vassilev,1.0,False,,n,2,7,0,37227,361,105072,1331,0.0,0.0,Vassilev,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,433,44,417,48,377,48,438,49,,,,,,
,,230046,0,0,0,0,0,3,1.8,1.3,0,Douglas Luiz,1.8,52,False,,,50,230046.jpg,2.3,Soares de Paulo,0.3,False,,a,2,7,7,8453,86,15377,233,0.4,1.4,Douglas Luiz,255,0,0,2,2,0,0,0,1,0,0,0,22,28.0,20.4,26.0,7.5,236,98,178,107,153,81,216,104,,,4.0,,,
